offers_A,demands_A,offers_B,demands_B,compatibility_percent
"[34, 69, 44, 94, 4]","[83, 24, 14, 94, 99]","[13, 53, 29, 12, 73]","[11, 18, 53, 94, 9]",68.68686868686869
"[19, 1, 6, 62, 78]","[51, 29, 11, 49, 49]","[85, 42, 15, 42, 12]","[55, 75, 52, 63, 85]",69.52941176470588
"[89, 47, 89, 87, 85]","[1, 88, 86, 47, 93]","[27, 1, 33, 33, 62]","[35, 49, 83, 45, 49]",62.25806451612903
"[36, 51, 19, 28, 31]","[38, 17, 50, 55, 29]","[6, 61, 41, 75, 100]","[91, 35, 98, 77, 31]",62.5
"[64, 7, 1, 24, 49]","[5, 27, 91, 66, 52]","[75, 60, 14, 17, 90]","[50, 15, 15, 18, 9]",61.64835164835165
"[15, 13, 55, 20, 50]","[52, 84, 95, 93, 5]","[18, 91, 15, 82, 28]","[71, 61, 2, 17, 36]",65.36842105263158
"[62, 91, 79, 35, 48]","[57, 56, 61, 38, 58]","[73, 88, 10, 9, 19]","[55, 65, 36, 13, 22]",68.02197802197803
"[87, 75, 1, 26, 38]","[57, 36, 31, 74, 86]","[100, 6, 57, 90, 72]","[16, 19, 92, 39, 27]",62.9
"[86, 81, 86, 80, 45]","[15, 100, 33, 18, 2]","[32, 78, 78, 28, 83]","[41, 8, 8, 52, 74]",57.2
"[22, 9, 80, 8, 17]","[17, 42, 99, 18, 44]","[5, 32, 1, 42, 40]","[46, 6, 17, 13, 52]",71.91919191919192
"[44, 95, 15, 3, 100]","[43, 35, 26, 84, 93]","[83, 63, 72, 41, 52]","[54, 96, 7, 100, 22]",60.8
"[94, 6, 27, 38, 93]","[86, 49, 97, 89, 10]","[94, 23, 66, 12, 87]","[33, 77, 52, 69, 78]",56.49484536082474
"[78, 75, 25, 98, 25]","[48, 7, 23, 52, 60]","[60, 36, 64, 46, 71]","[24, 88, 31, 25, 60]",71.42857142857143
"[95, 99, 32, 34, 45]","[36, 33, 37, 60, 59]","[2, 56, 79, 1, 2]","[89, 2, 83, 99, 72]",53.43434343434343
"[3, 54, 6, 83, 60]","[85, 21, 96, 51, 30]","[41, 98, 86, 54, 11]","[82, 40, 13, 6, 41]",64.38775510204081
"[98, 9, 6, 15, 2]","[9, 100, 60, 34, 77]","[25, 89, 64, 32, 21]","[58, 38, 66, 21, 56]",72.2
"[85, 78, 64, 58, 42]","[60, 88, 83, 8, 15]","[77, 38, 6, 11, 36]","[24, 32, 48, 38, 37]",64.0909090909091
"[44, 95, 50, 39, 53]","[51, 76, 92, 83, 90]","[83, 22, 1, 79, 83]","[4, 73, 28, 75, 7]",62.73684210526316
"[19, 70, 20, 12, 42]","[59, 95, 72, 88, 80]","[77, 45, 95, 82, 74]","[6, 21, 50, 97, 15]",68.35051546391753
"[2, 80, 9, 22, 16]","[99, 64, 16, 6, 87]","[65, 55, 70, 25, 92]","[86, 100, 53, 89, 33]",64.7
"[9, 71, 67, 36, 94]","[59, 13, 69, 9, 45]","[56, 31, 88, 68, 6]","[22, 94, 64, 80, 1]",66.59574468085107
"[82, 95, 31, 78, 46]","[55, 6, 34, 17, 38]","[8, 20, 31, 43, 48]","[52, 5, 10, 67, 6]",69.26315789473684
"[35, 85, 73, 75, 72]","[85, 35, 48, 36, 23]","[100, 42, 99, 52, 66]","[53, 70, 69, 26, 45]",75.5
"[51, 96, 61, 49, 17]","[38, 40, 95, 1, 58]","[37, 36, 3, 96, 13]","[23, 32, 74, 100, 58]",56.6
"[35, 29, 10, 19, 7]","[66, 36, 63, 90, 67]","[8, 58, 80, 9, 16]","[52, 56, 65, 89, 61]",49.77777777777778
"[43, 38, 33, 24, 65]","[36, 11, 39, 57, 72]","[83, 64, 42, 15, 3]","[71, 64, 21, 45, 58]",62.89156626506024
"[13, 75, 35, 78, 55]","[45, 19, 60, 41, 77]","[64, 96, 39, 46, 94]","[30, 41, 80, 50, 19]",68.85416666666666
"[41, 64, 66, 69, 49]","[52, 51, 77, 56, 16]","[67, 34, 78, 17, 94]","[42, 5, 74, 11, 48]",70.53191489361703
"[38, 99, 63, 83, 26]","[43, 51, 16, 14, 43]","[82, 85, 74, 9, 56]","[80, 21, 13, 94, 4]",64.44444444444444
"[59, 97, 70, 50, 2]","[14, 30, 100, 52, 77]","[9, 62, 19, 73, 62]","[87, 49, 18, 86, 33]",65.1
"[43, 89, 25, 91, 18]","[63, 11, 80, 31, 11]","[92, 15, 76, 88, 17]","[96, 87, 67, 65, 46]",73.85416666666667
"[88, 21, 74, 46, 98]","[3, 57, 48, 7, 82]","[39, 36, 4, 7, 54]","[37, 46, 18, 9, 15]",61.12244897959184
"[58, 16, 87, 91, 26]","[5, 97, 86, 65, 44]","[48, 2, 45, 40, 17]","[45, 97, 48, 43, 10]",55.876288659793815
"[21, 7, 14, 71, 67]","[4, 99, 93, 93, 48]","[7, 78, 76, 16, 73]","[68, 1, 1, 24, 48]",72.22222222222223
"[32, 57, 42, 11, 70]","[6, 88, 24, 93, 46]","[35, 72, 10, 46, 76]","[78, 23, 29, 14, 39]",71.72043010752688
"[62, 78, 65, 74, 17]","[34, 69, 46, 64, 71]","[3, 1, 81, 47, 32]","[28, 53, 13, 2, 7]",52.71604938271605
"[22, 95, 21, 61, 23]","[56, 3, 19, 70, 84]","[19, 51, 80, 99, 50]","[74, 13, 29, 80, 72]",57.676767676767675
"[48, 89, 11, 90, 30]","[48, 19, 10, 18, 98]","[7, 5, 50, 18, 35]","[53, 4, 3, 85, 65]",69.79591836734694
"[86, 84, 88, 52, 80]","[84, 35, 63, 98, 14]","[43, 77, 99, 80, 91]","[33, 14, 70, 10, 5]",52.323232323232325
"[39, 44, 10, 53, 57]","[82, 70, 83, 69, 64]","[5, 95, 88, 2, 28]","[22, 37, 6, 24, 1]",66.0
"[90, 28, 3, 51, 49]","[5, 13, 45, 81, 72]","[64, 12, 22, 46, 70]","[96, 68, 3, 81, 99]",75.15151515151516
"[89, 92, 75, 68, 68]","[30, 23, 6, 37, 28]","[31, 21, 27, 80, 71]","[39, 27, 86, 70, 65]",73.80434782608697
"[27, 15, 55, 44, 20]","[63, 67, 9, 72, 40]","[26, 28, 92, 93, 39]","[45, 37, 12, 93, 55]",62.58064516129032
"[99, 1, 56, 74, 92]","[96, 65, 4, 35, 33]","[10, 37, 51, 67, 2]","[99, 41, 60, 96, 54]",66.86868686868686
"[81, 34, 8, 98, 16]","[75, 100, 84, 51, 95]","[24, 70, 56, 4, 98]","[11, 15, 33, 84, 51]",67.8
"[68, 52, 23, 75, 24]","[91, 11, 61, 25, 39]","[99, 90, 99, 22, 76]","[84, 65, 71, 100, 22]",73.1
"[76, 23, 53, 77, 21]","[3, 50, 83, 88, 39]","[49, 83, 77, 89, 8]","[8, 78, 32, 56, 33]",66.96629213483146
"[58, 14, 20, 57, 77]","[6, 65, 100, 98, 78]","[40, 48, 19, 71, 23]","[24, 9, 69, 50, 91]",67.7
"[46, 68, 74, 76, 87]","[60, 6, 100, 88, 30]","[99, 23, 58, 67, 74]","[5, 12, 62, 80, 27]",66.4
"[21, 67, 80, 71, 55]","[45, 27, 28, 41, 74]","[100, 71, 3, 5, 92]","[90, 58, 46, 45, 52]",68.1
"[11, 18, 60, 91, 45]","[61, 66, 58, 72, 4]","[90, 58, 13, 72, 69]","[72, 46, 23, 91, 20]",67.25274725274726
"[46, 54, 63, 9, 37]","[41, 93, 34, 70, 67]","[42, 62, 99, 24, 66]","[96, 47, 62, 8, 85]",74.64646464646465
"[62, 47, 35, 69, 60]","[9, 63, 14, 30, 50]","[4, 93, 34, 30, 21]","[44, 38, 69, 64, 2]",77.63440860215054
"[77, 45, 93, 33, 72]","[52, 62, 3, 85, 81]","[66, 75, 96, 74, 73]","[31, 81, 71, 29, 4]",67.1875
"[55, 49, 27, 52, 47]","[59, 70, 15, 42, 97]","[95, 4, 96, 38, 96]","[24, 92, 6, 9, 66]",64.43298969072166
"[17, 52, 65, 14, 23]","[19, 41, 100, 42, 37]","[14, 11, 21, 68, 90]","[100, 24, 83, 80, 51]",58.4
"[100, 99, 14, 77, 6]","[61, 74, 59, 84, 41]","[92, 84, 76, 1, 48]","[97, 63, 32, 39, 32]",73.1
"[6, 100, 81, 37, 18]","[75, 63, 5, 92, 40]","[82, 82, 6, 35, 49]","[6, 47, 29, 85, 5]",74.1
"[14, 19, 65, 28, 76]","[89, 32, 57, 11, 34]","[67, 70, 69, 42, 6]","[16, 4, 42, 13, 22]",73.03370786516854
"[18, 48, 80, 31, 86]","[88, 26, 81, 58, 68]","[72, 8, 67, 19, 39]","[54, 19, 29, 24, 61]",70.0
"[15, 51, 97, 80, 75]","[16, 23, 55, 24, 10]","[10, 8, 29, 6, 48]","[86, 49, 19, 85, 65]",72.2680412371134
"[9, 71, 61, 39, 43]","[52, 30, 80, 82, 98]","[79, 79, 79, 60, 69]","[21, 62, 73, 40, 63]",81.42857142857143
"[2, 76, 92, 17, 8]","[23, 36, 71, 6, 14]","[35, 88, 24, 91, 35]","[69, 83, 65, 70, 43]",55.869565217391305
"[29, 27, 27, 22, 89]","[20, 77, 54, 68, 21]","[98, 47, 70, 57, 32]","[64, 78, 8, 44, 51]",68.26530612244899
"[68, 79, 88, 72, 32]","[11, 92, 95, 28, 63]","[34, 76, 73, 1, 9]","[6, 71, 85, 34, 75]",68.8421052631579
"[96, 39, 88, 32, 9]","[72, 99, 5, 46, 59]","[51, 92, 95, 71, 28]","[5, 30, 22, 40, 7]",64.64646464646465
"[7, 88, 14, 26, 82]","[31, 69, 53, 8, 19]","[32, 89, 6, 13, 82]","[90, 100, 59, 19, 77]",71.2
"[61, 93, 57, 77, 94]","[6, 82, 21, 54, 55]","[12, 57, 61, 57, 34]","[58, 98, 16, 63, 60]",80.40816326530613
"[43, 55, 41, 45, 32]","[97, 2, 91, 34, 7]","[20, 91, 83, 41, 78]","[66, 60, 55, 70, 87]",61.44329896907217
"[92, 26, 73, 48, 83]","[22, 29, 99, 84, 66]","[87, 69, 31, 13, 28]","[9, 9, 31, 68, 75]",54.343434343434346
"[67, 81, 14, 79, 10]","[67, 66, 29, 26, 58]","[91, 81, 53, 32, 58]","[44, 16, 10, 20, 25]",74.17582417582418
"[52, 3, 96, 98, 31]","[21, 40, 5, 46, 15]","[4, 99, 91, 89, 23]","[22, 15, 28, 8, 13]",56.464646464646464
"[16, 12, 54, 54, 70]","[8, 57, 32, 22, 2]","[81, 74, 32, 24, 93]","[25, 28, 38, 22, 24]",67.52688172043011
"[26, 56, 21, 90, 59]","[15, 10, 92, 35, 55]","[72, 27, 76, 16, 18]","[3, 51, 64, 69, 35]",71.52173913043478
"[24, 52, 22, 2, 32]","[39, 64, 81, 81, 97]","[24, 93, 60, 94, 25]","[23, 83, 91, 78, 34]",66.08247422680411
"[49, 5, 1, 67, 18]","[25, 85, 58, 35, 51]","[74, 71, 5, 24, 81]","[84, 63, 19, 73, 3]",66.0
"[89, 60, 28, 81, 69]","[29, 81, 19, 61, 36]","[63, 16, 65, 17, 73]","[32, 5, 69, 66, 86]",53.82022471910113
"[2, 100, 26, 12, 20]","[85, 39, 28, 97, 13]","[29, 42, 25, 57, 6]","[19, 62, 63, 89, 27]",71.5
"[50, 1, 74, 87, 94]","[14, 73, 42, 79, 88]","[88, 94, 42, 98, 87]","[92, 99, 27, 5, 56]",57.37373737373738
"[31, 49, 85, 61, 97]","[38, 85, 13, 96, 28]","[7, 71, 49, 66, 78]","[27, 30, 94, 47, 67]",75.56701030927834
"[83, 28, 4, 46, 84]","[91, 34, 27, 56, 54]","[7, 78, 96, 31, 22]","[60, 46, 17, 98, 43]",59.08163265306123
"[82, 33, 91, 37, 74]","[9, 94, 97, 22, 20]","[62, 9, 23, 1, 90]","[29, 76, 64, 11, 28]",48.65979381443299
"[82, 8, 27, 63, 44]","[37, 9, 99, 63, 98]","[79, 98, 18, 98, 26]","[28, 10, 80, 82, 42]",54.64646464646464
"[89, 74, 32, 6, 27]","[66, 90, 71, 10, 39]","[71, 59, 21, 81, 73]","[73, 10, 44, 2, 13]",66.55555555555556
"[63, 27, 68, 93, 90]","[53, 91, 48, 47, 27]","[98, 32, 94, 74, 49]","[63, 81, 50, 82, 83]",70.51020408163265
"[81, 18, 63, 20, 96]","[42, 63, 58, 82, 88]","[32, 38, 96, 31, 74]","[49, 51, 1, 26, 100]",72.5
"[30, 25, 8, 77, 81]","[93, 85, 49, 68, 90]","[14, 69, 38, 45, 46]","[89, 92, 50, 64, 26]",56.02150537634409
"[57, 86, 14, 81, 23]","[18, 22, 17, 70, 83]","[53, 11, 35, 92, 21]","[78, 84, 50, 24, 63]",66.95652173913044
"[25, 54, 35, 58, 78]","[31, 86, 100, 44, 13]","[33, 99, 54, 98, 98]","[55, 52, 64, 84, 49]",68.4
"[78, 80, 29, 53, 60]","[41, 56, 10, 41, 80]","[16, 27, 25, 16, 38]","[48, 39, 15, 26, 42]",66.75
"[45, 87, 4, 97, 55]","[10, 93, 68, 41, 62]","[85, 36, 98, 69, 39]","[16, 42, 27, 53, 17]",60.0
"[7, 49, 7, 42, 77]","[33, 17, 3, 76, 87]","[12, 81, 27, 76, 95]","[10, 65, 38, 30, 84]",80.42105263157896
"[62, 18, 21, 80, 7]","[30, 29, 7, 61, 81]","[51, 11, 26, 77, 4]","[91, 43, 97, 78, 65]",64.84536082474227
"[55, 85, 25, 56, 52]","[75, 83, 5, 72, 54]","[47, 18, 46, 92, 13]","[70, 67, 55, 68, 58]",70.00000000000001
"[44, 98, 21, 53, 36]","[23, 54, 45, 85, 3]","[84, 55, 69, 94, 21]","[28, 39, 33, 35, 69]",74.38775510204083
"[21, 17, 25, 20, 12]","[36, 84, 61, 68, 73]","[31, 55, 53, 95, 68]","[15, 4, 24, 1, 35]",85.6842105263158
"[40, 77, 40, 51, 27]","[20, 75, 11, 34, 59]","[28, 27, 30, 63, 75]","[92, 95, 78, 77, 27]",73.26315789473684
"[95, 7, 80, 11, 100]","[65, 96, 88, 2, 81]","[77, 40, 75, 20, 30]","[9, 90, 6, 5, 45]",54.6
"[43, 99, 24, 99, 19]","[98, 80, 29, 62, 94]","[20, 69, 29, 79, 53]","[11, 100, 25, 68, 87]",72.0
"[49, 59, 11, 8, 10]","[42, 71, 18, 3, 69]","[91, 77, 11, 61, 49]","[40, 44, 85, 76, 97]",59.48453608247423
"[36, 71, 76, 28, 17]","[5, 89, 15, 69, 36]","[13, 28, 64, 34, 32]","[66, 37, 35, 71, 60]",60.89887640449438
"[18, 85, 62, 43, 47]","[58, 72, 63, 7, 77]","[8, 91, 3, 21, 3]","[23, 56, 88, 38, 97]",65.77319587628865
"[46, 93, 60, 4, 37]","[29, 12, 92, 26, 6]","[23, 35, 96, 82, 82]","[21, 79, 53, 41, 86]",69.0625
"[25, 68, 63, 96, 4]","[55, 52, 16, 11, 38]","[46, 2, 86, 55, 39]","[88, 49, 44, 54, 51]",62.083333333333336
"[8, 72, 70, 51, 68]","[49, 18, 12, 70, 76]","[81, 80, 4, 73, 25]","[34, 34, 59, 28, 33]",64.32098765432099
"[71, 68, 76, 63, 87]","[38, 88, 74, 77, 15]","[69, 23, 44, 79, 53]","[40, 77, 98, 86, 97]",73.36734693877553
"[69, 10, 60, 70, 13]","[82, 7, 16, 86, 77]","[98, 84, 73, 44, 33]","[4, 44, 75, 73, 83]",56.83673469387755
"[83, 50, 42, 80, 33]","[15, 23, 87, 25, 30]","[78, 73, 53, 30, 45]","[83, 9, 48, 70, 48]",72.52873563218391
"[19, 60, 67, 21, 90]","[64, 2, 52, 18, 33]","[78, 35, 80, 25, 87]","[43, 61, 57, 5, 20]",71.44444444444444
"[11, 16, 2, 3, 91]","[12, 2, 58, 60, 14]","[56, 54, 46, 76, 46]","[24, 25, 21, 24, 88]",75.71428571428572
"[64, 5, 18, 68, 41]","[53, 69, 22, 48, 8]","[98, 55, 85, 41, 56]","[4, 47, 63, 9, 45]",60.51020408163265
"[80, 45, 5, 16, 27]","[39, 72, 59, 23, 38]","[36, 39, 71, 7, 69]","[59, 25, 5, 23, 72]",76.5
"[83, 40, 8, 86, 79]","[66, 9, 59, 1, 35]","[90, 4, 63, 50, 6]","[17, 4, 2, 24, 20]",62.22222222222222
"[87, 37, 96, 9, 31]","[96, 4, 100, 4, 21]","[85, 68, 80, 9, 36]","[5, 36, 29, 1, 57]",70.1
"[56, 40, 95, 26, 41]","[3, 46, 52, 91, 81]","[29, 95, 78, 90, 76]","[31, 25, 88, 92, 12]",73.78947368421052
"[41, 72, 96, 12, 62]","[64, 31, 32, 30, 37]","[47, 55, 26, 34, 86]","[97, 3, 51, 11, 56]",71.44329896907216
"[4, 65, 49, 59, 38]","[77, 37, 94, 94, 95]","[54, 69, 27, 51, 57]","[90, 33, 91, 53, 97]",55.876288659793815
"[19, 31, 90, 84, 23]","[39, 19, 94, 40, 48]","[82, 9, 36, 75, 73]","[30, 54, 6, 94, 25]",67.97872340425532
"[59, 70, 59, 99, 73]","[41, 73, 27, 66, 37]","[72, 98, 83, 14, 59]","[100, 80, 17, 7, 8]",56.4
"[97, 93, 5, 85, 71]","[69, 91, 24, 2, 75]","[7, 69, 60, 34, 70]","[70, 21, 83, 57, 83]",61.44329896907217
"[43, 12, 56, 78, 22]","[87, 53, 38, 61, 53]","[62, 50, 80, 14, 93]","[32, 69, 90, 83, 63]",67.20430107526882
"[47, 20, 83, 69, 52]","[69, 96, 79, 14, 85]","[65, 64, 91, 27, 91]","[19, 27, 17, 14, 48]",76.35416666666667
"[40, 32, 59, 88, 7]","[87, 66, 49, 86, 38]","[27, 11, 91, 30, 78]","[55, 9, 79, 4, 42]",52.747252747252745
"[30, 76, 38, 39, 2]","[27, 11, 47, 72, 96]","[92, 89, 71, 98, 80]","[17, 86, 87, 79, 28]",64.59183673469387
"[12, 26, 72, 39, 73]","[70, 1, 74, 47, 65]","[50, 18, 67, 5, 93]","[70, 25, 26, 86, 69]",70.96774193548387
"[19, 71, 93, 16, 8]","[17, 51, 82, 53, 8]","[34, 56, 85, 81, 92]","[65, 13, 59, 52, 75]",59.354838709677416
